Country,Compensation currency,Compensation time period,Employment type,Work location,Contract type,Job family,Level,Department,Manager,Entity,Teams,Position ID
Indonesia,DKK,,,,,,,,,,,EE105405
Palau,TMT,,,,,,,,,,,EE105508
Pitcairn,GNF,,,,,,,,,,,EE105537
Portugal,NIO,,,,,,,,,,,EE105135
Burundi,GTQ,,,,,,,,,,,EE104386
Antarctica,RWF,,,,,,,,,,,EE105923
Denmark,SCR,,,,,,,,,,,EE106112
Tuvalu,RUB,,,,,,,,,,,EE105251
Philippines,ZAR,,,,,,,,,,,EE105460
Paraguay,MUR,,,,,,,,,,,EE104098
South Korea,STD,,,,,,,,,,,EE105650
Sint Maarten (Dutch part),AFN,,,,,,,,,,,EE106409
Burkina Faso,UZS,,,,,,,,,,,EE105617
Israel,AMD,,,,,,,,,,,EE104820
Libya,CUC,,,,,,,,,,,EE104339
Mauritania,MYR,,,,,,,,,,,EE105794
Vanuatu,MGA,,,,,,,,,,,EE106889
"Bolivia, Plurinational State of",KRW,,,,,,,,,,,EE106135
Turks and Caicos Islands,OMR,,,,,,,,,,,EE106466
Argentina,ZMW,,,,,,,,,,,EE106083
Åland Islands,MNT,,,,,,,,,,,EE106427
Chad,YER,,,,,,,,,,,EE105206
Saint Barthélemy,BYN,,,,,,,,,,,EE104294
Albania,JPY,,,,,,,,,,,ADHOC107181
Equatorial Guinea,UAH,,,,,,,,,,,EE104497
Finland,TWD,,,,,,,,,,,EE103990
San Marino,XPF,,,,,,,,,,,EE105044
Bulgaria,KES,,,,,,,,,,,EE105920
"Micronesia, Federated States of",LAK,,,,,,,,,,,EE104544
Guernsey,BAM,,,,,,,,,,,EE106514
Jersey,BTN,,,,,,,,,,,EE106870
Fiji,KWD,,,,,,,,,,,EE106179
Cyprus,UYU,,,,,,,,,,,EE106438
Réunion,GEL,,,,,,,,,,,EE105099
Guyana,CZK,,,,,,,,,,,EE106104
Bosnia and Herzegovina,XAF,,,,,,,,,,,EE104915
Georgia,PYG,,,,,,,,,,,EE103996
Gambia,CAD,,,,,,,,,,,EE105274
Guinea-Bissau,GIP,,,,,,,,,,,EE106139
Monaco,HNL,,,,,,,,,,,ADHOC107304
Saint Vincent and the Grenadines,SLL,,,,,,,,,,,EE105303
Sierra Leone,TOP,,,,,,,,,,,ADHOC106911
Liberia,HTG,,,,,,,,,,,EE105142
Netherlands Antilles,SBD,,,,,,,,,,,ADHOC107286
Brunei Darussalam,HUF,,,,,,,,,,,EE104804
"Virgin Islands, U.S.",MDL,,,,,,,,,,,EE105952
Mexico,FJD,,,,,,,,,,,EE106379
"Congo, The Democratic Republic of the",MWK,,,,,,,,,,,ADHOC106926
Senegal,AZN,,,,,,,,,,,ADHOC107004
Slovenia,,,,,,,,,,,,ADHOC107003
North Macedonia,,,,,,,,,,,,EE104087
Barbados,,,,,,,,,,,,EE104072
Guinea,,,,,,,,,,,,EE104468
Yemen,,,,,,,,,,,,EE104708
Bhutan,,,,,,,,,,,,EE106702
Bahamas,,,,,,,,,,,,EE106414
Maldives,,,,,,,,,,,,EE106499
Malawi,,,,,,,,,,,,EE105472
Saint Pierre and Miquelon,,,,,,,,,,,,EE105919
Benin,,,,,,,,,,,,EE106635
Sudan,,,,,,,,,,,,EE106737
Latvia,,,,,,,,,,,,EE105326
Comoros,,,,,,,,,,,,EE105672
Cocos (Keeling) Islands,,,,,,,,,,,,EE104421
Montenegro,,,,,,,,,,,,EE105757
Turkey,,,,,,,,,,,,EE105951
Suriname,,,,,,,,,,,,EE106421
Peru,,,,,,,,,,,,EE106476
American Samoa,,,,,,,,,,,,EE106876
Kyrgyzstan,,,,,,,,,,,,EE106510
Liechtenstein,,,,,,,,,,,,EE105131
British Indian Ocean Territory,,,,,,,,,,,,EE104113
Russian Federation,,,,,,,,,,,,EE106244
Belgium,,,,,,,,,,,,EE106533
Turkmenistan,,,,,,,,,,,,EE106443
New Zealand,,,,,,,,,,,,EE106203
Aruba,,,,,,,,,,,,EE104274
Azerbaijan,,,,,,,,,,,,EE104369
Ghana,,,,,,,,,,,,EE105280
Wallis and Futuna,,,,,,,,,,,,EE105572
Western Sahara,,,,,,,,,,,,EE106710
Canada,,,,,,,,,,,,EE104787
Faroe Islands,,,,,,,,,,,,EE106382
Uzbekistan,,,,,,,,,,,,EE105933
Falkland Islands (Malvinas),,,,,,,,,,,,EE104179
Ethiopia,,,,,,,,,,,,EE104454
"Venezuela, Bolivarian Republic of",,,,,,,,,,,,ADHOC107169
Antigua and Barbuda,,,,,,,,,,,,EE105385
Tokelau,,,,,,,,,,,,EE105005
Panama,,,,,,,,,,,,ADHOC106965
Bermuda,,,,,,,,,,,,ADHOC107184
Oman,,,,,,,,,,,,EE104008
Serbia,,,,,,,,,,,,EE104139
Svalbard and Jan Mayen,,,,,,,,,,,,EE104405
Iceland,,,,,,,,,,,,EE104251
Marshall Islands,,,,,,,,,,,,EE105498
Pakistan,,,,,,,,,,,,EE105495
Myanmar,,,,,,,,,,,,EE106601
Switzerland,,,,,,,,,,,,EE106804
French Southern Territories,,,,,,,,,,,,EE106528
Jamaica,,,,,,,,,,,,EE104017
Luxembourg,,,,,,,,,,,,ADHOC107238
Christmas Island,,,,,,,,,,,,EE104371
Italy,,,,,,,,,,,,EE105544
Gibraltar,,,,,,,,,,,,EE105595
Guadeloupe,,,,,,,,,,,,EE106378
Anguilla,,,,,,,,,,,,EE107060
Jordan,,,,,,,,,,,,EE104941
Norway,,,,,,,,,,,,EE105321
Japan,,,,,,,,,,,,EE105350
Eritrea,,,,,,,,,,,,EE106187
Guatemala,,,,,,,,,,,,EE107021
Kiribati,,,,,,,,,,,,EE105249
Greenland,,,,,,,,,,,,EE104301
Botswana,,,,,,,,,,,,ADHOC106958
Isle of Man,,,,,,,,,,,,EE104550
United Arab Emirates,,,,,,,,,,,,EE106098
Croatia,,,,,,,,,,,,EE105239
Honduras,,,,,,,,,,,,EE104489
United States,,,,,,,,,,,,EE106530
Bahrain,,,,,,,,,,,,EE104130
Sweden,,,,,,,,,,,,EE104311
Curaçao,,,,,,,,,,,,EE106148
Cabo Verde,,,,,,,,,,,,EE106695
Niger,,,,,,,,,,,,EE106832
Tunisia,,,,,,,,,,,,ADHOC106978
Namibia,,,,,,,,,,,,EE104277
Congo,,,,,,,,,,,,EE104374
"Moldova, Republic of",,,,,,,,,,,,EE105724
Dominica,,,,,,,,,,,,EE106550
Nepal,,,,,,,,,,,,EE106855
Togo,,,,,,,,,,,,EE105043
Australia,,,,,,,,,,,,EE105214
Nigeria,,,,,,,,,,,,EE104884
,,,,,,,,,,,,EE106022
